Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/input/anc-cds.xml	14784	-	0	0	0	0	0	0	30	113	0	0	0	0	0	0	0	5	0	0	997	1558	0	0	0	0	58	0	10
input/examples/condition-anc-b10-de113-example.json	1557	6	0	0	0	0	0	0	0	803	0	0	0	0	0	0	0	0	0	0	51	62	0	0	0	1	0	0	0
input/examples/condition-anc-b10-de121-example.json	1603	5	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	48	55	0	0	0	0	0	0	0
input/examples/condition-anc-b10-de73-example.json	1707	4	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	50	47	0	0	0	0	0	0	0
input/examples/condition-anc-b10-de74-example.json	1716	4	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	47	44	0	0	0	0	0	0	0
input/examples/condition-anc-b10-de75-example.json	1675	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	48	45	0	0	0	0	0	0	0
input/examples/condition-anc-b10-de76-example.json	1688	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	48	59	0	0	0	0	0	0	0
input/examples/encounter-anc-encounter-example.json	1337	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	48	52	0	0	0	0	0	0	0
input/examples/encounter-anc-end-13-example.json	474	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	26	46	0	0	0	0	0	0	0
input/examples/immunization-anc-b10-de175-example.json	709	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	27	49	0	0	0	0	0	0	0
input/examples/immunization-anc-b10-de189-example.json	1339	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	28	47	0	0	0	0	0	0	0
input/examples/immunization-anc-b10-de197-example.json	689	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	27	46	0	0	0	0	0	0	0
input/examples/immunization-anc-b10-de251-example.json	1335	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	32	43	0	0	0	0	0	0	0
input/examples/immunization-flu-immunization-example.json	1405	3	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	29	47	0	0	0	0	0	0	0
input/examples/immunization-hepatitis-b-1-immunization-example.json	1483	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	28	46	0	0	0	0	0	0	0
input/examples/immunization-hepatitis-b-2-immunization-example.json	1484	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	28	48	0	0	0	0	0	0	0
input/examples/immunization-hepatitis-b-3-immunization-example.json	1483	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	29	46	0	0	0	0	0	0	0
input/examples/immunization-malaria-prophylaxis-iptp-sp-dose-1-example.json	1598	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	27	30	0	0	0	0	0	0	0
input/examples/immunization-malaria-prophylaxis-iptp-sp-dose-2-example.json	1598	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	28	43	0	0	0	0	0	0	0
input/examples/immunization-malaria-prophylaxis-iptp-sp-dose-3-example.json	1598	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	36	28	0	0	0	0	0	0	0
input/examples/immunization-tetanus-toxoid-tt-1-immunization-example.json	1506	4	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	39	33	0	0	0	0	0	0	0
input/examples/immunization-tetanus-toxoid-tt-2-immunization-example.json	1507	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	27	31	0	0	0	0	0	0	0
input/examples/immunization-tetanus-toxoid-tt-3-immunization-example.json	1506	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	27	23	0	0	0	0	0	0	0
input/examples/immunization-tetanus-toxoid-tt-4-immunization-example.json	1492	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	27	40	0	0	0	0	0	0	0
input/examples/immunization-tetanus-toxoid-tt-5-immunization-example.json	1506	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	35	48	0	0	0	0	0	0	0
input/examples/medicationrequest-anc-b10-de104-example.json	1723	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	35	57	0	0	0	0	0	0	0
input/examples/medicationrequest-anc-b10-de107-example.json	804	4	0	0	0	0	0	0	0	409	0	0	0	0	0	0	0	0	0	0	28	32	0	0	0	0	0	0	0
input/examples/medicationrequest-anc-b10-de108-example.json	1727	4	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	32	35	0	0	0	0	0	0	0
input/examples/medicationrequest-anc-b10-de115-example.json	804	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	28	36	0	0	0	0	0	0	0
input/examples/medicationrequest-anc-b10-de116-example.json	1434	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	28	24	0	0	0	0	0	0	0
input/examples/medicationrequest-anc-b10-de127-example.json	1576	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	28	23	0	0	0	0	0	0	0
input/examples/medicationrequest-anc-b10-de132-example.json	803	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	26	23	0	0	0	0	0	0	0
input/examples/medicationrequest-anc-b10-de95-example.json	805	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	28	23	0	0	0	0	0	0	0
input/examples/medicationrequest-anc-b10-de96-example.json	1592	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	28	24	0	0	0	0	0	0	0
input/examples/medicationrequest-iron-supplement-example.json	811	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	32	23	0	0	0	0	0	0	0
input/examples/medicationrequest-vitamin-a-supplement-example.json	824	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	26	23	0	0	0	0	0	0	0
input/examples/observation-anc-a-de13-example.json	1376	4	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	27	34	0	0	0	0	0	0	0
